Change,Description,Date
Updated resource,"The following resource was updated: AWS::Synthetics::Canary. AWS::Synthetics::CanaryThe MemoryInMB parameter was added. Also, the RunConfig parameter is no longer required, and DurationInSeconds is no longer required.","July 9, 2020"
New resource,The following resource was added: AWS::Athena::DataCatalog AWS::Athena::DataCatalog Use the AWS::Athena::DataCatalog resource to register external data sources with Athena.,"July 9, 2020"
New resource,The following resource was added: AWS::EC2::PrefixList. AWS::EC2::PrefixList Use the PrefixList resource to create a prefix list.,"July 9, 2020"
New resource,The following resource was added: AWS::QLDB::Stream AWS::QLDB::Stream Use the AWS::QLDB::Stream resource to specify a new journal stream for a given Amazon Quantum Ledger Database (Amazon QLDB) ledger.,"July 9, 2020"
New property,The following property was added to AWS::CodeBuild::Project Source: BuildStatusConfig AWS::CodeBuild::Project Source Use the buildStatusConfig property to specify build status information to the source provider.,"July 9, 2020"
New property,The following resource was added: AWS::CodeGuruProfiler::ProfilingGroup.ComputePlatform. AWS::CodeGuruProfiler::ProfilingGroup.ComputePlatform Use AWS::CodeGuruProfiler::ProfilingGroup.ComputePlatform to specify the compute platform of the profiling group.,"July 9, 2020"
Updated resource,"The following resource was updated: AWS::Events::Rule. AWS::Events::Rule In the Target property type, use the HttpParameters property to specify the HTTP parameters to use when the target is a API Gateway REST endpoint.","July 6, 2020"
New resource,The following resource was added: AWS::AppConfig::HostedConfigurationVersion AWS::AppConfig::HostedConfigurationVersionThis resource lets you create a new configuration in the AppConfig hosted configuration store.,"June 25, 2020"
Updated resources,The following resources were updated: AWS::ServiceDiscovery::HttpNamespace AWS::ServiceDiscovery::PrivateDnsNamespace AWS::ServiceDiscovery::PublicDnsNamespace AWS::ServiceDiscovery::Service AWS::ServiceDiscovery::HttpNamespace Use the Tags property to add tag keys and values to an AWS CloudMap HTTP namespace. AWS::ServiceDiscovery::PrivateDnsNamespace Use the Tags property to add tag keys and values to an AWS CloudMap private DNS namespace. AWS::ServiceDiscovery::PublicDnsNamespace Use the Tags property to add tag keys and values to an AWS CloudMap public DNS namespace. AWS::ServiceDiscovery::Service Use the Tags property to add tag keys and values to an AWS CloudMap service.,"June 22, 2020"
Updated resources,The following resources were updated: AWS::ECS::Cluster AWS::ECS::Cluster Use the CapacityProviderStrategyItem property to specify the capacity provider strategy when creating a cluster.,"June 18, 2020"
Updated resource,"The following resources were updated: AWS::FMS::Policy IEMap AWS::FMS::Policy IEMapThe AWS::FMS::Policy IEMap resource now allows you to specify accounts using AWS Organizations organizational units (OUs), in addition to account IDs.","June 18, 2020"
New resources,The following resources were added: AWS::ECS::CapacityProvider. AWS::ECS::CapacityProvider Use the AWS::ECS::CapacityProvider resource to create a new capacity provider.,"June 18, 2020"
Updated resource,The following resource was updated: AWS::EFS::FileSystem AWS::EFS::FileSystem Use the FileSystemPolicy property to create a new resource policy to control NFS access to your Amazon EFS file system.,"June 16, 2020"
Updated resource,The following resource was updated: AWS::EFS::AccessPoint AWS::EFS::AccessPointFn::GetAtt now returns the AccessPointId and Arn attributes.,"June 16, 2020"
Updated resource,The following resource was updated: AWS::Lambda::Function. AWS::Lambda::Function Use the FileSystemConfigs property to specify connection settings for an Amazon EFS file system.,"June 16, 2020"
Updated resources,The following resource was updated: AWS::EC2::Volume. AWS::EC2::Volume Use the OutpostArn property to specify the Amazon Resource Name (ARN) of the Outpost.,"June 11, 2020"
Updated resource,The following resource was updated: AWS::CertificateManager::Certificate AWS::CertificateManager::Certificate Use the CertificateAuthorityArn property to specify the Amazon Resource Name (ARN) of the private certificate authority (CA) that will be used to issue the certificate.  Use the CertificateTransparencyLoggingPreference property to enable or disable certificate transparency logging.,"June 11, 2020"
Updated resource,"The following resource was updated: AWS::CloudFront::Distribution. AWS::CloudFront::Distribution In the Origin property type, use the ConnectionAttempts property to specify the number of times that CloudFront attempts to connect to the origin.  In the Origin property type, use the ConnectionTimeout property to specify the number of seconds that CloudFront waits when trying to establish a connection to the origin.","June 11, 2020"
Updated resource,The following resource was updated: AWS::ElastiCache::ReplicationGroup. AWS::ElastiCache::ReplicationGroup Use the MultiAZEnabled attribute to indicate if you have Multi-AZ enabled.,"June 11, 2020"
Updated resource,The following resource was updated: AWS::ElasticLoadBalancingV2::LoadBalancer. AWS::ElasticLoadBalancingV2::LoadBalancer Use the SubnetMapping attribute to specify a subnet to attach to an Application Load Balancer or a Network Load Balancer.,"June 11, 2020"
New resource,"The following resources were added: AWS::RDS::DBProxy and AWS::RDS::DBProxyTargetGroup. AWS::RDS::DBProxy Use the AWS::RDS::DBProxy resource to create or update a DB proxy.  Use the AWS::RDS::DBProxyTargetGroup resource to specify a set of RDS DB instances, Aurora DB clusters, or both that a proxy can connect to.","June 4, 2020"
Resource import supports provisionable private resource types,"Import operations now support private resource types that are provisionable; that is, whose provisioning type is either FULLY_MUTABLE or IMMUTABLE. For more information, see Resources that support import operations.","June 3, 2020"
New property,The following property was added: AWS::CodeGuruProfiler::ProfilingGroup.AgentPermissions. AWS::CodeGuruProfiler::ProfilingGroup.AgentPermissionsThe AWS::CodeGuruProfiler::ProfilingGroup.AgentPermissions property shows the agent permissions attached to this profiling group.,"June 3, 2020"
Updated resource,The following resource was updated: AWS::EC2::ClientVpnEndpoint AWS::EC2::ClientVpnEndpoint ClientAuthenticationRequest Use the FederatedAuthentication property to specify an IAM SAML identity provider for your Client VPN endpoint.,"May 28, 2020"
Updated resource,The following resource was updated: AWS::MSK::Cluster AWS::MSK::ClusterYou can now update an existing MSK cluster to a newer version of Apache Kafka. You can't update it to an older version.,"May 28, 2020"
Updated resource,The following resource was updated: AWS::CodeBuild::ReportGroup AWS::CodeBuild::ReportGroup Use the tags property to specify the name and value of any tags that you want supporting AWS services to use for a report group.,"May 21, 2020"
Updated resource,The following resource was updated: AWS::StepFunctions::StateMachine. AWS::StepFunctions::StateMachineThe AWS::StepFunctions::StateMachine has two new properties. You can use the DefinitionS3Location property to reference a state machine JSON definition file stored in an S3 bucket. You can use the DefinitionSubstitutions property to pass variables into the state machine definition file referenced by DefinitionS3Location.,"May 21, 2020"
Updated resource,"The following resource was updated: AWS::SSM::Parameter AWS::SSM::ParameterWhen you create a String parameter, you can now specify a DataType value as aws:ec2:image to ensure that the parameter value you enter is a valid Amazon Machine Image (AMI) ID format. Support for AMI ID formats lets you avoid updating all your scripts and templates with a new ID each time the AMI that you want to use in your processes changes. You can create a parameter with the data type aws:ec2:image, and for its value, enter the ID of an AMI. This is the AMI from which you currently want new instances to be created. You then reference this parameter in your templates and commands. When you’re ready to use a different AMI, update the parameter value. Parameter Store validates the new AMI ID, and you don’t need to update your scripts and templates.","May 21, 2020"
ECS blue/green deployments through CodeDeploy,"You can now use CloudFormation to perform ECS blue/green deployments through CodeDeploy. Blue/green deployments are a safe deployment strategy provided by AWS CodeDeploy for minimizing interruptions caused by changing application versions. For more information, see Performing ECS blue/green deployments through CodeDeploy using AWS CloudFormation.","May 19, 2020"
AWS CloudFormation StackSets Region availability,AWS CloudFormation StackSets is now available in the AWS GovCloud (US-West) Region.,"May 18, 2020"
Updated resource,The following resource was updated: AWS::CodeStarConnections::Connection AWS::CodeStarConnections::Connection Use the Tags property to specify the tags applied to your connections resource.,"May 14, 2020"
Updated resource,The following resource was updated: AWS::MediaStore::Container. AWS::MediaStore::Container Use the MetricPolicy property to enable metrics at the object level.  Use the Tags property to attach metadata to the AWS::MediaStore::Container resource.,"May 14, 2020"
Updated resource,The following resource was updated: AWS::ServiceCatalog::CloudFormationProduct. AWS::ServiceCatalog::CloudFormationProduct Use the ReplaceProvisioningArtifacts property to choose whether provisioning artifact identifiers are replaced when you update a product.,"May 14, 2020"
Updated resource,The following resource was updated: AWS::Synthetics::Canary. AWS::Synthetics::CanaryThe RunConfig parameter is required.,"May 14, 2020"
New resources,"The following resources were added: AWS::GlobalAccelerator::Accelerator, AWS::GlobalAccelerator::EndpointGroup, and AWS::GlobalAccelerator::Listener AWS::GlobalAccelerator::Accelerator Use the AWS::GlobalAccelerator::Accelerator resource to create or update an accelerator for AWS Global Accelerator. AWS::GlobalAccelerator::EndpointGroup Use the AWS::GlobalAccelerator::EndpointGroup resource to create or update an endpoint group for AWS Global Accelerator. AWS::GlobalAccelerator::Listener Use the AWS::GlobalAccelerator::Listener resource to create or update a listener for AWS Global Accelerator.","May 14, 2020"
New resources,"The following resources were added: AWS::Macie::CustomDataIdentifier, AWS::Macie::FindingsFilter, and AWS::Macie::Session AWS::Macie::CustomDataIdentifier Use the AWS::Macie::CustomDataIdentifier resource to create a custom data identifier in Amazon Macie. AWS::Macie::FindingsFilter Use the AWS::Macie::FindingsFilter resource to create a custom filter for findings in Amazon Macie. AWS::Macie::Session Use the AWS::Macie::Session resource to enable Amazon Macie.","May 14, 2020"
Updated resource,"The following resource was updated: AWS::IoTEvents::DetectorModel. AWS::IoTEvents::DetectorModelAdded the following properties: AssetPropertyTimestamp, AssetPropertyValue, AssetPropertyVariant, DynamoDB, DynamoDBv2, IotSiteWise, and Payload. Updated the following property: SetTimer.","May 7, 2020"
Updated resource,"The following resource was updated: AWS::SSM::Association AWS::SSM::Association Use the WaitForSuccessTimeoutSeconds property to specify the number of seconds the service should wait for the association status to show ""Success"" before proceeding with the stack execution. If the association status doesn't show ""Success"" after the specified number of seconds, then stack creation fails.","May 7, 2020"
New resource,The following resource was added: AWS::ImageBuilder::Image. AWS::ImageBuilder::Image Use the AWS::ImageBuilder::Image resource to create an image in the EC2 Image Builder service.,"May 7, 2020"
Updated resource,The following resource was updated: AWS::Synthetics::Canary. AWS::Synthetics::Canary Use the Name property to specify the name for this canary.,"April 30, 2020"
New resource,The following resource was added: AWS::EventSchemas::RegistryPolicy. AWS::EventSchemas::RegistryPolicy Use the AWS::EventSchemas::RegistryPolicy resource to specify a resource-based policy associated with a schema registry.,"April 30, 2020"
Updated resource,The following resource was updated: AWS::FSx::FileSystem AWS::FSx::FileSystem Use the LustreMountName attribute when mounting an Amazon FSx for Lustre file system.,"April 23, 2020"
New resources,"The following resources were added: AWS::ImageBuilder::Component, AWS::ImageBuilder::DistributionConfiguration, AWS::ImageBuilder::ImagePipeline, AWS::ImageBuilder::ImageRecipe, and AWS::ImageBuilder::InfrastructureConfiguration. AWS::ImageBuilder::Component Use the AWS::ImageBuilder::Component resource to create a component in the EC2 Image Builder service. AWS::ImageBuilder::DistributionConfiguration Use the AWS::ImageBuilder::DistributionConfiguration resource to create a distribution configuration in the EC2 Image Builder service. AWS::ImageBuilder::ImagePipeline Use the AWS::ImageBuilder::ImagePipeline resource to create an image pipeline in the EC2 Image Builder service. AWS::ImageBuilder::ImageRecipe Use the AWS::ImageBuilder::ImageRecipe resource to create an image recipe in the EC2 Image Builder service. AWS::ImageBuilder::InfrastructureConfiguration Use the AWS::ImageBuilder::InfrastructureConfiguration resource to create an infrastructure configuration in the EC2 Image Builder service.","April 23, 2020"
New resource,The following resource was added: AWS::CE::CostCategory AWS::CE::CostCategory Use the AWS::CE::CostCategory resource to create groupings of costs that you can use across products in the AWS Billing and Cost Management console.,"April 23, 2020"
New resource,"The following resource was added: AWS::Synthetics::Canary. AWS::Synthetics::Canary Use the AWS::Synthetics::Canary resource to create a canary. Canaries are configurable scripts that run on a schedule and monitor your endpoints and APIs. By using canaries, you can discover issues before your customers do.","April 23, 2020"
Updated resource,The following resource was updated: AWS::Glue::DevEndpoint AWS::Glue::DevEndpoint Use the PublicKeys property to specify a list of public keys to be used by a development endpoint for authentication.,"April 16, 2020"
Updated resource,The following resource was updated: AWS::Glue::MLTransform AWS::Glue::MLTransform Use the Tags property to specify the AWS resource tags to use to manage access to a machine learning transform.,"April 16, 2020"
New resource,"The following resource was added: AWS::ResourceGroups::Group AWS::ResourceGroups::Group Use the AWS::ResourceGroups::Group resource to create a resource group with the specified name, description, and resource query.","April 16, 2020"
Updated resource,"The following resource was updated: AWS::CloudWatch::InsightRule. AWS::CloudWatch::InsightRuleThe AWS::CloudWatch::InsightRule resource now supports tags.  Use the AWS::CloudWatch::InsightRule resource to create Contributor Insights rules. For more information, see Using Contributor Insights to Analyze High-Cardinality Data.","April 2, 2020"
Updated resource,"The following resource was updated: AWS::FSx::FileSystem AWS::FSx::FileSystem Use the StorageType property to specify the type of storage for the file system, either solid state drive, SSD or hard disk drive, HDD.  In the WindowsConfiguration property type, use the DeploymentType property to specify a new Amazon FSx for Windows File Server file system deployment type, SINGLE_AZ_2, the latest generation of Single-AZ file systems.","April 2, 2020"
Updated resource,The following resource was updated: AWS::ServiceCatalog::LaunchRoleConstraint. AWS::ServiceCatalog::LaunchRoleConstraint Use the LocalRoleName property to specify an IAM role to use when an account uses a launch constraint.,"April 2, 2020"
Updated resource,The following resource was updated: AWS::ApiGatewayV2::Integration. AWS::ApiGatewayV2::Integration Use the AWS::ApiGatewayV2::Integration resource to create a private integration for an HTTP API.,"March 26, 2020"
Updated resource,"The following resource was updated: AWS::AutoScaling::AutoScalingGroup. AWS::AutoScaling::AutoScalingGroup Use the MaxInstanceLifetime property to specify the maximum amount of time, in seconds, that an instance can be in service.","March 26, 2020"
Updated resource,The following resource was updated: AWS::Cognito::UserPool AWS::Cognito::UserPool Use the UsernameConfiguration property to set case sensitivity on the username input for the selected sign-in option.,"March 26, 2020"
Updated resource,The following resource was updated: AWS::EC2::Volume AWS::EC2::Volume Use the MultiAttachEnabled property to indicate whether Amazon EBS Multi-Attach is enabled.,"March 26, 2020"
Updated resource,The following resource was updated: AWS::RDS::DBInstance AWS::RDS::DBInstanceThe AWS::RDS::DBInstance resource now supports Read Replica across multiple Availability Zone deployments.,"March 26, 2020"
New resources,The following resources were added: AWS::Detective::Graph and AWS::Detective::MemberInvitation AWS::Detective::Graph Use the AWS::Detective::Graph resource to specify a Detective behavior graph. AWS::Detective::MemberInvitation Use the AWS::Detective::MemberInvitation resource to send an invitation to join a Detective behavior graph.,"March 26, 2020"
Updated resource,The following resource was updated: AWS::EC2::ClientVpnEndpoint. AWS::EC2::ClientVpnEndpoint Use the VpcId and SecurityGroupIds properties to assign security groups to your Client VPN endpoint.,"March 19, 2020"
New resources,"The following resources were added: AWS::NetworkManager::CustomerGatewayAssociation, AWS::NetworkManager::Device, AWS::NetworkManager::GlobalNetwork, AWS::NetworkManager::Link, AWS::NetworkManager::LinkAssociation, AWS::NetworkManager::Site, and AWS::NetworkManager::TransitGatewayRegistration AWS::NetworkManager::CustomerGatewayAssociation Use the AWS::NetworkManager::CustomerGatewayAssociation resource to specify an association between a customer gateway, device, and link.  AWS::NetworkManager::Device Use the AWS::NetworkManager::Device resource to specify a device in a global network.  AWS::NetworkManager::GlobalNetwork Use the AWS::NetworkManager::GlobalNetwork resource to specify a global network.  AWS::NetworkManager::Link Use the AWS::NetworkManager::Link resource to specify a link for a site.  AWS::NetworkManager::LinkAssociation Use the AWS::NetworkManager::LinkAssociation resource to specify an association between a device and a link.  AWS::NetworkManager::Site Use the AWS::NetworkManager::Site resource to specify a site in a global network.  AWS::NetworkManager::TransitGatewayRegistration Use the AWS::NetworkManager::TransitGatewayRegistration resource to specify the registration of a transit gateway in a global network.","March 19, 2020"
New resource,The following resource was added: AWS::CodeGuruProfiler::ProfilingGroup. AWS::CodeGuruProfiler::ProfilingGroup Use the AWS::CodeGuruProfiler::ProfilingGroup resource to create a profiling group.,"March 19, 2020"
New resources,The following resources were added: AWS::Cassandra::Keyspace and AWS::Cassandra::Table. AWS::Cassandra::Keyspace Use the AWS::Cassandra::Keyspace resource to create a new keyspace in Amazon Keyspaces (for Apache Cassandra). AWS::Cassandra::Table Use the AWS::Cassandra::Table resource to create a new table in Amazon Keyspaces (for Apache Cassandra).,"March 16, 2020"
Updated resource,"The following resources were updated: AWS::AppMesh::VirtualNode, AWS::AppMesh::VirtualRouter, AWS::AppMesh::VirtualService, and AWS::AppMesh::Route AWS::AppMesh::VirtualNode Use the MeshOwner property to specify the account ID that owns a shared mesh. AWS::AppMesh::Route Use the MeshOwner property to specify the account ID that owns a shared mesh. AWS::AppMesh::VirtualRouter Use the MeshOwner property to specify the account ID that owns a shared mesh. AWS::AppMesh::VirtualService Use the MeshOwner property to specify the account ID that owns a shared mesh.","March 12, 2020"
Updated resource,"The following resource was updated: AWS::MSK::Cluster AWS::MSK::Cluster Use the LoggingInfo to stream broker logs to one or more of the following destination types: Amazon CloudWatch Logs, Amazon S3, Amazon Kinesis Data Firehose.","March 12, 2020"
New and updated resources,"The following resources were added or updated: AWS::ApiGatewayV2::ApiGatewayManagedOverrides, AWS::ApiGatewayV2::Integration, and AWS::ApiGatewayV2::VpcLink. AWS::ApiGatewayV2::ApiGatewayManagedOverrides Use the AWS::ApiGatewayV2::ApiGatewayManagedOverrides resource to override the default properties of API Gateway managed resources. AWS::ApiGatewayV2::Integration Use the AWS::ApiGatewayV2::Integration resource to create a private integration for an HTTP API. AWS::ApiGatewayV2::VpcLink Use the AWS::ApiGatewayV2::VpcLink resource to create a VPC link for an HTTP API.","March 12, 2020"
Updated resources,"The following resources were updated: AWS::Greengrass::ResourceDefinition and AWS::Greengrass::ResourceDefinitionVersion AWS::Greengrass::ResourceDefinition In the S3MachineLearningModelResourceData property type that defines a resource instance, use the OwnerSetting property to specify the Linux OS group owner and permissions for the downloaded machine learning resource.  In the SageMakerMachineLearningModelResourceData property type that defines a resource instance, use the OwnerSetting property to specify the Linux OS group owner and permissions for the downloaded machine learning resource. AWS::Greengrass::ResourceDefinitionVersion In the S3MachineLearningModelResourceData property type that defines a resource instance, use the OwnerSetting property to specify the Linux OS group owner and permissions for the downloaded machine learning resource.  In the SageMakerMachineLearningModelResourceData property type that defines a resource instance, use the OwnerSetting property to specify the Linux OS group owner and permissions for the downloaded machine learning resource.","March 9, 2020"
Updated resource,"The following resource was updated: AWS::CloudFront::Distribution. AWS::CloudFront::Distribution In the DistributionConfig property type, use the OriginGroups property to specify information about origin groups for this distribution.","March 5, 2020"
Updated resource,The following resource was updated to support envelope encryption of secrets with AWS KMS: AWS::EKS::Cluster AWS::EKS::Cluster EncryptionConfig Use the AWS::EKS::Cluster EncryptionConfig property to specify the encryption configuration for a Amazon EKS cluster. AWS::EKS::Cluster Provider Use the AWS::EKS::Cluster Provider property to specify the AWS Key Management Service (AWS KMS) customer master key (CMK) used to encrypt the secrets for a Amazon EKS cluster.,"March 5, 2020"
New resource,"The following resource was added: AWS::Athena::WorkGroup AWS::Athena::WorkGroup Use the AWS::Athena::WorkGroup resource to separate users, teams, applications, or workloads, set limits on the amount of data the workgroup or its queries can process, and track costs.","March 5, 2020"
New resource,The following resource was added: AWS::Chatbot::SlackChannelConfiguration AWS::Chatbot::SlackChannelConfiguration Use the AWS::Chatbot::SlackChannelConfiguration resource to configure a Slack channel with AWS Chatbot.,"March 5, 2020"
New resource,The following resource was added: AWS::CodeStarConnections::Connection AWS::CodeStarConnections::Connection Use the AWS::CodeStarConnections::Connection resource to specify Connection.,"March 5, 2020"
New resource,The following resource was added: AWS::CloudWatch::CompositeAlarm. AWS::CloudWatch::CompositeAlarm Use the AWS::CloudWatch::CompositeAlarm property to create a composite alarm. Composite alarms evaluate their alarm state based on the alarm states of other CloudWatch rules.,"March 2, 2020"
Updated resource,The following resource was updated: AWS::AppMesh::VirtualNode AWS::AppMesh::VirtualNode Use the BackendDefaults property to specify a client policy for a backend.  Use the ClientPolicy property to specify a client policy.  Use the ClientPolicyTls property to specify a Transport Layer Security (TLS) client policy.  Use the ListenerTls property to specify a TLS listener.  Use the ListenerTlsCertificate property to specify the type of certificate to use for a client policy.  Use the ListenerTlsAcmCertificate property to specify an AWS Certificate Manager certificate.  Use the ListenerTlsFileCertificate property to specify properties of a local file certificate.  Use the TlsValidationContext property to specify a TLS validation context trust.  Use the TlsValidationContextAcmTrust property to specify a context trust for an AWS Certificate Manager certificate.  Use the TlsValidationContextFileTrust property to specify a file that contains the certificate trust chain for a local file certificate.  Use the TlsValidationContextTrust property to specify a TLS validation context trust.  Use the VirtualNodeSpec property to specify BackendDefaults.  Use the Listener property to specify a ListenerTls.,"February 27, 2020"
Updated resource,"The following resource was updated: AWS::FSx::FileSystem AWS::FSx::FileSystem In the LustreConfiguration property type:  Use the DeploymentType property to specify the Amazon FSx for Lustre file system deployment type, either PERSISTENT_1, SCRATCH_2, or SCRATCH_1.   Use the PerUnitStorageThroughput property to specify the throughput in MB/s/TiB for a PERSISTENT_1 Amazon FSx for Lustre file system deployment type.","February 27, 2020"
New resources,"The following resources were added: AWS::GroundStation::Config, AWS::GroundStation::DataflowEndpointGroup, and AWS::GroundStation::MissionProfile AWS::GroundStation::Config Use the AWS::GroundStation::Config resource to specify a Config with the specified parameters. AWS::GroundStation::DataflowEndpointGroup Use the AWS::GroundStation::DataflowEndpointGroup resource to specify a Dataflow Endpoint Group request. AWS::GroundStation::MissionProfile Use the AWS::GroundStation::MissionProfile resource to specify parameters and provide references to config objects to define how Ground Station lists and executes contacts.","February 27, 2020"
Updated resource,"The following resources was updated: AWS::CodeBuild::Project AWS::CodeBuild::Project Use the ProjectFileSystemLocation property to specify a file system that your AWS CodeBuild build project mounts. You use Amazon Elastic File System (EFS) to create the file system. For more information, see Amazon Elastic File System Sample for CodeBuild.","February 20, 2020"
Updated resource,The following resource was updated: AWS::Neptune::DBCluster AWS::Neptune::DBCluster Use the DeletionProtection property to help prevent inadvertent deletion of your DB cluster.  Use the EngineVersion property to specify the engine version that your new DB cluster will use.,"February 18, 2020"
New resources,The following resources were added: AWS::EC2::LocalGatewayRoute and AWS::EC2::LocalGatewayRouteTableVPCAssociation. AWS::EC2::LocalGatewayRoute Use the LocalGatewayRoute resource to associate the specified VPC with the specified local gateway route table. AWS::EC2::LocalGatewayRouteTableVPCAssociation Use the LocalGatewayRouteTableVPCAssociation resource to associate the specified VPC with the specified local gateway route table.,"February 14, 2020"
Updated resources,"The following resource were updated: AWS::ElasticLoadBalancingV2::Listener and AWS::ElasticLoadBalancingV2::ListenerRule AWS::ElasticLoadBalancingV2::Listener In the Action property type, use the ForwardConfig property to specify an action that distributes requests among one or more target groups. AWS::ElasticLoadBalancingV2::ListenerRule In the Action property type, use the ForwardConfig property to specify an action that distributes requests among one or more target groups.","February 13, 2020"
New resource,The following resources was added: AWS::Config::ConformancePack AWS::Config::ConformancePack Use the AWS::Config::ConformancePack resource to create a Conformance Pack that is a collection of AWS Config rules that can be easily deployed in an account and a region and across AWS Organization.,"February 13, 2020"
New resource,The following resources was added: AWS::Config::OrganizationConformancePack AWS::Config::OrganizationConformancePack Use the AWS::Config::OrganizationConformancePack resource to create an OrganizationConformancePack that has information about conformance packs that AWS Config creates in the member accounts.,"February 13, 2020"
New resource,The following resources were added: AWS::FMS::NotificationChannel and AWS::FMS::Policy AWS::FMS::NotificationChannel Use the AWS::FMS::NotificationChannel resource to designate the IAM role and Amazon Simple Notification Service (SNS) topic that AWS Firewall Manager uses to record SNS logs. AWS::FMS::Policy Use the AWS::FMS::Policy resource to specify an AWS Firewall Manager policy.,"February 13, 2020"
AWS CloudFormation StackSets integrates with AWS Organizations," Use StackSets to centrally manage deployments to all the accounts in your organization or specific organizational units (OUs) in AWS Organizations. You can enable automatic deployments to any new accounts added to your organization or OUs. The permissions needed to deploy across accounts will automatically be handled by StackSets. For more information, see Working with AWS CloudFormation StackSets.","February 11, 2020"
Updated resources,The following resources were updated: AWS::EC2::LaunchTemplate and AWS::EC2::ClientVpnEndpoint AWS::EC2::LaunchTemplate Use the MetadataOptions property to configure the Instance Metadata Service (IMDS) for the instance.  Use the HostResourceGroupArn property to specify the ARN of the host resource group in which to launch the instances.  Use the PartitionNumber property to specify a target partition in a partition placement group.  Use the LaunchTemplateElasticInferenceAccelerator property to specify the number of elastic inference accelerators to attach to the instance. AWS::EC2::ClientVpnEndpoint Use the VpnPort property to assign a port number for TCP and UDP traffic.,"February 6, 2020"
Updated resource,"The following resource was updated: AWS::AppSync::GraphQLApi. AWS::AppSync::GraphQLApiWhen the property xrayEnabled is set to TRUE, X-Ray tracing is enabled for this GraphqlApi.","February 6, 2020"
Updated resource,The following resource was updated: AWS::Cognito::UserPool AWS::Cognito::UserPoolAdded AccountRecoverySetting parameter to define which verified available method a user can use to recover their password.,"February 6, 2020"
Updated resource,The following resource was updated: AWS::OpsWorksCM::Server AWS::OpsWorksCM::Server Use the Tags property to add tag keys and values to an AWS OpsWorks for Chef Automate or AWS OpsWorks for Puppet Enterprise server.,"February 6, 2020"
New resource,"The following resource was added: AWS::WAFv2::WebACLAssociation. AWS WAFv2 Use the web ACL association to define an association between a Web ACL and a regional application resource, to protect the resource. A regional application can be an Application Load Balancer (ALB), Amazon API Gateway REST API, or an AWS AppSync GraphQL API. For CloudFront distributions, you use AWS::CloudFront::Distribution to manage the association.","February 6, 2020"
Updated resources,"The following resources were updated: AWS::Pinpoint::EmailTemplate, AWS::Pinpoint::PushTemplate, and AWS::Pinpoint::SmsTemplate AWS::Pinpoint::EmailTemplate Use the DefaultSubstitutions property to specify the default values to use for message variables in a message template.  Use the TemplateDescription property to specify a custom description of a message template. AWS::Pinpoint::PushTemplate Use the DefaultSubstitutions property to specify the default values to use for message variables in a message template.  Use the TemplateDescription property to specify a custom description of a message template. AWS::Pinpoint::SmsTemplate Use the DefaultSubstitutions property to specify the default values to use for message variables in a message template.  Use the TemplateDescription property to specify a custom description of a message template.","January 23, 2020"
New resources,"The following resources were added: AWS::ACMPCA::Certificate, AWS::ACMPCA::CertificateAuthority, and AWS::ACMPCA::CertificateAuthorityActivation. AWS::ACMPCA::CertificateThe AWS::ACMPCA::Certificate resource is used to issue a certificate using your private certificate authority. AWS::ACMPCA::CertificateAuthority Use the AWS::ACMPCA::CertificateAuthority resource to create a private CA. AWS::ACMPCA::CertificateAuthorityActivationThe AWS::ACMPCA::CertificateAuthorityActivation resource creates and installs a CA certificate on a CA.","January 23, 2020"
New resource,"The following resources were added: AWS::AppConfig::Application, AWS::AppConfig::ConfigurationProfile, AWS::AppConfig::Deployment, AWS::AppConfig::Environment, and AWS::AppConfig::DeploymentStrategy AWS::AppConfig::ApplicationThe AWS::AppConfig::Application resource creates an application, which is a logical unit of code that provides capabilities for your customers. AWS::AppConfig::ConfigurationProfileThe AWS::AppConfig::ConfigurationProfile resource creates a configuration profile that enables AppConfig to access the configuration source. AWS::AppConfig::DeploymentThe AWS::AppConfig::Deployment resource starts a deployment. AWS::AppConfig::EnvironmentThe AWS::AppConfig::Environment resource creates an environment, which is a logical deployment group of AppConfig targets, such as applications in a Beta or Production environment. AWS::AppConfig::DeploymentStrategyThe AWS::AppConfig::DeploymentStrategy resource creates an AppConfig deployment strategy.","January 23, 2020"
Updated resources,"The following resource was updated: AWS::Lambda::Function. AWS::Lambda::Function In the Code property type, ZipFile supports nodejs12.x for RunTime.","January 16, 2020"
Updated resource,"The following resource was updated: AWS::AutoScaling::AutoScalingGroup. AWS::AutoScaling::AutoScalingGroup Use the WeightedCapacity property to specify the number of capacity units, which gives the instance type a proportional weight to other instance types.","January 16, 2020"
Updated resource,The following resource was updated: AWS::EC2::Instance. AWS::EC2::Instance Use the HibernationOptions property to indicate whether the instance is enabled for hibernation.  Use the HostResourceGroupArn property to specify the ARN of the host resource group in which to launch the instances.,"January 16, 2020"
Updated resource,The following resource was updated: AWS::LakeFormation::Permissions AWS::LakeFormation::Permissions Use the DataLocationResource property to specify a structure for a data location object where permissions are granted or revoked.  Use the TableWithColumnsResource property to specify a structure for a table with columns object. This object is only used when granting a SELECT permission.,"January 16, 2020"
Updated resource,The following resource was updated: AWS::RDS::DBInstance. AWS::RDS::DBInstance Use the CACertificateIdentifier property to specify the identifier of the CA certificate for this DB instance.,"January 16, 2020"
